response,longitude,latitude,human_pop_density_log10,croplands_all_categories,managed_pasture_and_rangeland,precipitation_inFall,precipitation_spring,precipitation_summer,precipitation_winter,primary_forest_areas,primary_non.forest_areas,secondary_forest_areas,secondary_non.forest_areas,relative_humidity_inFall,relative_humidity_spring,relative_humidity_summer,relative_humidity_winter,temperature_inFall,temperature_spring,temperature_summer,temperature_winter
1,18.75,43.25,4.33828830718994,0.0725474953651428,0.171675801277161,4.2651686668396,4.64151859283447,2.84143328666687,4.70261526107788,0.00263226893730462,0,0.753144443035126,0,82.3890609741211,83.7825088500977,69.420539855957,93.1003112792969,8.65935707092285,7.13173818588257,16.8998050689697,-1.04650473594666
1,9.25,40.75,4.88648843765259,0.173758938908577,0.169686019420624,1.73731756210327,1.57804954051971,0.37774184346199,2.00690174102783,0,7.91421793195707e-16,0,0.648933708667755,68.8371505737305,69.2755737304688,52.7180976867676,76.3989181518555,17.7009315490723,14.0662784576416,24.3759498596191,9.16948890686035
1,-8.75,39.25,5.47191619873047,0.368323445320129,0.275847315788269,2.31045174598694,1.84955656528473,0.229678422212601,2.5651319026947,0,0.222448796033859,0,0.112580120563507,68.2813262939453,72.1968078613281,63.1410751342773,77.2182312011719,18.0301151275635,15.1765384674072,21.829044342041,11.256799697876
1,16.25,38.75,5.46692276000977,0.182330414652824,0.120952129364014,3.30561470985413,2.38791036605835,1.15309906005859,3.90238332748413,0,0,0,0.469965010881424,73.1961441040039,75.8595962524414,58.2113456726074,79.1582183837891,17.3805274963379,13.4468021392822,23.8319339752197,8.899489402771
1,9.25,45.25,6.2989296913147,0.583577990531921,0.0561263673007488,1.18711316585541,0.952223002910614,0.285695970058441,0.830984354019165,0,0,0.249579578638077,0,62.5706329345703,66.7846527099609,51.0986747741699,72.6691589355469,14.5937232971191,13.7191915512085,24.302188873291,5.34471035003662
1,18.75,47.75,5.4298357963562,0.360897481441498,0.0987820252776146,1.63119769096375,2.03154039382935,1.49256634712219,1.78357791900635,0,0.000104765502328519,0,0.530534267425537,73.1796035766602,76.3581695556641,62.2573280334473,90.0767288208008,10.8414344787598,10.6087989807129,20.9198131561279,-0.577673316001892
1,-8.25,38.75,4.68167448043823,0.282609164714813,0.344192028045654,1.77184844017029,1.60239577293396,0.173517912626266,2.09978199005127,0,0.276024669408798,0,0.0944381356239319,64.1816635131836,70.5375366210938,54.3762817382812,78.6533203125,18.2773170471191,15.2522420883179,23.4675636291504,10.3437442779541
1,2.75,43.75,4.45441818237305,0.201826840639114,0.153235211968422,2.44442296028137,2.50814819335938,0.782758772373199,2.66507053375244,0,0,0.644245624542236,0,77.3070755004883,78.4556884765625,63.5130348205566,86.1521301269531,12.2978048324585,10.307315826416,19.6343727111816,4.11263418197632
1,-3.25,39.25,5.03858137130737,0.653126835823059,0.245270043611526,1.40553605556488,1.6015921831131,0.130281195044518,1.73348069190979,0,0.0142163634300232,0,0.0807261541485786,57.2873992919922,64.3289947509766,32.9288558959961,77.9960556030273,16.0911502838135,12.8107442855835,25.5020999908447,5.90893983840942
1,-3.25,37.25,4.74060392379761,0.285071939229965,0.0847801566123962,2.31910181045532,1.93591928482056,0.255715578794479,2.59041881561279,0,0.488826721906662,0,0.140127494931221,62.6051368713379,64.8714828491211,40.8553352355957,76.9166793823242,15.9589881896973,12.7797994613647,24.0395240783691,6.77468252182007
1,1.75,41.25,5.87356185913086,0.119372978806496,0.0955337211489677,1.03475379943848,0.998193740844727,0.32850107550621,0.817936360836029,0,0.225573927164078,0,0.0632957443594933,66.8059310913086,70.3788681030273,65.3889770507812,68.1178970336914,18.7337589263916,14.8071632385254,23.9261913299561,10.6617069244385
1,-4.75,37.25,5.26700353622437,0.587296664714813,0.25862118601799,1.26699221134186,1.24053776264191,0.0514265075325966,1.88550806045532,0,0.00721283396705985,0,0.142206385731697,57.4926414489746,64.6186370849609,36.719539642334,76.2975616455078,18.9910717010498,15.2365560531616,27.1672401428223,9.15456581115723
1,-1.75,37.75,5.06937170028687,0.318526059389114,0.109132349491119,1.35710716247559,1.12505054473877,0.138032719492912,1.5023068189621,0,0.42251980304718,0,0.144436702132225,64.3304595947266,61.9541931152344,49.0096588134766,71.6996002197266,17.8515663146973,14.7824239730835,24.8563575744629,9.08179092407227
1,21.25,39.25,4.37474060058594,0.116505190730095,0.248023986816406,2.34966397285461,2.13569068908691,0.930896997451782,3.27760457992554,1.13644224708341e-19,0,0.613802671432495,0,71.4743270874023,74.5772094726562,54.8470306396484,82.2401885986328,15.1260623931885,12.0678958892822,22.8993167877197,5.52628993988037
1,18.75,46.25,5.23804807662964,0.560382962226868,0.079525038599968,1.94950318336487,2.57339382171631,1.81727921962738,2.17678236961365,0,2.34584399549931e-06,0,0.35086452960968,68.9112243652344,74.8171463012695,60.6137161254883,87.1524276733398,12.6264381408691,11.8266334533691,21.9670238494873,0.893192529678345
1,20.25,42.75,5.37434053421021,0.127018257975578,0.300241023302078,2.95860290527344,3.57611060142517,2.02335095405579,3.31002497673035,6.50521303491303e-19,0,0.557451605796814,0,77.8172302246094,79.6378402709961,63.571475982666,92.9567947387695,9.53365516662598,8.22467422485352,18.2320384979248,-0.914363622665405
1,-3.75,38.75,5.03787136077881,0.492753714323044,0.336714714765549,1.51367676258087,1.7257171869278,0.127034604549408,2.03011727333069,0,0.0388614870607853,0,0.124806813895702,56.4940452575684,66.1318893432617,31.5562782287598,79.0153732299805,16.5086402893066,12.9223880767822,25.8937511444092,6.19926357269287
1,-1.25,39.75,4.58925676345825,0.259731709957123,0.161689013242722,1.49765634536743,1.73635065555573,0.386583805084229,1.26504480838776,0,0.446993976831436,0,0.131319791078568,65.4467315673828,64.3528747558594,48.5361442565918,74.6507415771484,14.7781820297241,12.2110433578491,22.9352054595947,5.772047996521
1,-6.75,37.75,4.75852680206299,0.106363579630852,0.208791434764862,1.61406850814819,1.45632231235504,0.0829413756728172,1.98904728889465,0,0.538729667663574,0,0.144035935401917,58.754711151123,66.5304565429688,38.0260391235352,78.845344543457,18.9099979400635,15.5709781646729,26.7737159729004,9.53499794006348
